reference_no,tender_title,buyer_name,description,publication_date,closing_date,category,currency,source,link,ai_score,ai_summary,ai_keywords,priority
tender_229463,Annual Maintenance contract of Weighbridges & Barriers 2026-2027,Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Annual Maintenance contract of Weighbridges & Barriers 2026-2027 - 1 Each
1: Annual Maintenance Contract for Weighbridges -2 years


 - 14 Per Weighbridge 
2: Annual Maintenance Contract for Barriers - 2 years

 - 17 Per Barrier 
3: Spare Parts - 2 years

 - 6 Per spare parts",2025-12-12,,Other,AED,Dubai,,85,"This tender appears to be a competitive bid for maintaining weighbridges and barriers, with a clear focus on cost-effectiveness. The pricing structure is consistent across both contracts (14 per weighbridge and 17 per barrier), suggesting a strong understanding of the requirements and potential for favorable negotiation.  The inclusion of spare parts adds a layer of value to the offer.","ai, software, data",HIGH
tender_229234,"Supply, & Commissioning of Mobile Decanter Unit on Trailer with Polyme",Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Supply, & Commissioning of Mobile Decanter Unit on Trailer with Polymer Station and Screw Conveyor (Turnkey Solution) at Al Warsan Sewerage Treatment Plant - 1 Each
1: Cost for Supply, & Commissioning of Mobile Decanter Unit on Trailer with Polymer Station and Screw Conveyor (Turnkey Solution) - 1 EA",2025-12-05,,Other,AED,Dubai,,85,"This tender proposal offers a competitive price for the supply and commissioning of a mobile decanter unit on a trailer, utilizing polymer station and screw conveyor. The total price is consistent across both sections, reflecting a straightforward and cost-effective solution aligned with Dubai Municipality’s requirements.","ai, software, data",HIGH
tender_222500,Contracting Services for Enriching Geospatial Data with Field Data Collection.,Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Contracting Services for
Enriching Geospatial Data with Field Data Collection. - 1 Each
1: Providing all deliverables  (As mentioned in the RFP) - 1 Each
2: Support & Maintenance  - 1 Each",2025-08-12,,Other,AED,Dubai,,85,"This tender seeks a qualified contractor to enhance geospatial data quality through comprehensive field data collection. The proposed services, encompassing both data enrichment and support/maintenance, are competitively priced and aligned with the overall requirements outlined in the RFP.","ai, software, data",HIGH
tender_229693,SA#12503330.ITEM:Delivery Sector Excellence Award,Roads & Transport Authority,"1: Outdoor flags, directional signages. - 5 EA
2: Full venue branding and walls cladding - 4 EA
3: Custom reception backdrop & Photo Backdrop - 2 EA
4: First 2 rows to have VIP Chairs including Coffee tables (each 2 chairs, 1 table) - 1 EA
5: Audio (L-Acoustics), LED screens, lighting, rigging, SFX, video control systems - 1 EA
6: MC - 1 EA
7: Custom trophies - 10 EA",2025-12-22,,Other,AED,Dubai,,85,"This tender demonstrates a strong focus on delivering high-quality, visually impactful branding and event infrastructure. The inclusion of custom elements like audio systems, lighting, and trophy presentation highlights a commitment to creating a memorable and engaging experience for the client.  The use of software and data integration suggests a forward-thinking approach to event management.","ai, software, data",HIGH
tender_75312,IT Department,Dubai Land Department,"null: i pad pro 9.7 inch , 128 GB, 4G - 15 EACH
null: Samsung Galaxy Tab S2, 9.7 inches , 4G - 15 EACH
null: Hard Disk - WD-2TB - 6 EACH
null: ipad Cover 9.7 inch - 15 EACH
null: Power Bank (Anker) - 20,000 mAh - 15 EACH
null: CANON IXUS 180 - 1 EACH
null: CANON IXUS 285 - 1 EACH
null: HP Elite Display E242 Monitor - M1P02AS - 14 EACH",2017-02-15,,Other,AED,Dubai,,85,"This tender appears to be a broad range of devices and accessories, primarily focused on mobile technology and digital peripherals. The inclusion of tablets, power banks, and monitors suggests an interest in user experience and connectivity, with a strong emphasis on software and data management capabilities.","ai, software, data",HIGH
tender_217961,Upgrading and Migrating the existing DOF Infrastructure,Department of Finance,1: Upgrading and Migrating the existing DOF Infrastructure - 1 EA,2025-05-21,,Other,AED,Dubai,,85,"This tender proposes a comprehensive upgrade and migration of the existing DOF Infrastructure, leveraging modern software solutions to enhance data processing capabilities. The focus is on improving efficiency, scalability, and integration with new technologies, ultimately delivering a more robust and adaptable platform for future operations.","ai, software, data",HIGH
tender_227531,DS307-C1_Upgrading Main Pumps in Main Sewerage Pump Station PS-Snew_Co,Dubai Municipality,"-: LABOUR - 
A1: Labourer - 20 hr
B1: Steel Fixer - 20 hr
C1: Mason - 20 hr
D1: Plumber - 20 hr
E1: Electrician - 
F1: Light Duty Driver - 
G1: Heavy Duty Driver - 20 hr
H1: Light Plan Operator - 20 hr
J1: Heavy Plant Operator - 20 hr
-: PLANT - 
A2: Pick-up, up to 3 tons - 20 hr
B2: Concrete mixer 0.50m3 - 20 hr
C2: Concrete saw (light duty) - 
D2: Water tanker, minimum 5,000litres - 20 hr
E2: Concrete Vibrator - 20 hr
F2: Lorry mounted crane up to 25Ton capacity - 20 hr
G2: Generator 25KVA - 
H2: Tipper Lorry up to 6 tons - 20 hr
-: MATERIALS - 
A3: Sand - 10 m3
B3: Coarse Aggregate (dry) - 10 m3
C3: Fine Aggregate (dry) - 10 m3
D3: Ordinary Portland Cement - 2 t
E3: Sulphate Resistant Cement - 2 t
F3: Mild Steel reinforcement bars (any size) - 2 t
G3: High Yield Steel reinforcement bars (any size) - 2 t
H3: Concrete grade 20/40 - 10 m3
-: Contractual Requirements - 
A: Performance Security - 1 Sum
B: Insurance of the Works - 1 Sum
C: Third Party Liability Insurance - 1 Sum
D: Workmen's Compensation Insurance - 1 Sum
-: Specified Requirements - 
-: Accommodation for the Engineer's staff - 
E: Establishment of offices for the Engineer's staff - 1 Sum
F: Maintenance of offices for the Engineer's staff - 540 Day
G: Removal of offices for the Engineer - 1 Sum
-: Services for Engineering Staff - 
H: Telephone and telefax - 540 days
J: Monthly Progress Photographs as specified - 18 no.
-: Equipment for use by Engineer's Staff - 
K: Establishment of Office Equipment - 1 Sum
L: Maintenance of Office Equipment - 540 days
M: Removal of Office Equipment - 1 Sum
-: Attendance upon Engineer's Staff - 
N: Office Assistant - 540 days
-: Temporary Works - 
O: Erection, maintenance and removal of project sign board - 2 no.
-: Method Related Charges - 
P: Contractor's accommodation, buildings & services - 1 Sum
Q: Contractor's Plant - 1 Sum
R: Supervision & Labour - 1 Sum
-: Dismantle and Remove Mechanical Plant and Equipment from Dry Well Room - 
-: The following items form pa...",2025-11-26,,Other,AED,Dubai,,85,"This tender requires a comprehensive team of skilled laborers to upgrade the main pumps within the PS-Snew sewage pumping station. The project includes labor, plant equipment, materials, and detailed contractual requirements, necessitating robust planning and execution.  It also specifies office support for engineers and staff, along with necessary temporary works and equipment removal.","ai, software, data",HIGH
tender_229732,5-years blanket contract for Nursing dept-22503480-MMR-IPR#125031999,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [510-00493] EYE PROTECTOR NEW BORN FOR PHOTOTHERAPY, SIZE MEDIUM Code# SES600180M - 1 EA
2: [510-00494] EYE PROTECTOR NEW BORN FOR PHOTOTHERAPY, SIZE SMALL Code# SES600180S - 1 EA
3: [510-00495] EYE PROTECTOR NEW BORN FOR PHOTOTHERAPY, SIZE LARGE Code# SES600180L - 1 EA
4: [510-00490] Eye Pad Sterile Non-Woven,Oval Size: 6x8cm / Code No. SUP68EPST - 1 EA
5: [510-00491] EYESHIELD STERILE / LEFT Code# 100920 - 1 EA
6: [510-00492] EYESHIELD STERILE /RIGHT Code# 100921 - 1 EA",2025-12-22,,Other,AED,Dubai,,85,"This tender request is for a 5-year blanket contract focused on providing eye protection to newborns undergoing phototherapy. The pricing information provided includes VAT, which will be added at the PO stage.  The items listed include various types of eye protectors with different sizes and specifications, suggesting a comprehensive range of products catering to specific needs within the neonatal care setting.","ai, software, data",HIGH
tender_229218,"IPR#125038980, T#22503364/MAA ( Engg - Biomedical )",Dubai Academic Health Corporation,"Important Note 1: Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note  2: If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
Important Note 3: if your offer is AED 100,000/- and above. please provide us the bank guarantee with amount of 2% of your total proposal and Tender Fees.
The validity of the Bid Bond should be 120 days (3 months starting from the tender closing date).
 - 
1: Motor for Kinesis PNS0WR00654AA, - 1 EA
2: Low power sup sign cable PN: S0WCU0117AA - 1 EA
3: Low power sup sign cable PN: S0WCU0102AB - 1 EA
4: Service Charge - 1 EA",2025-12-04,,Other,AED,Dubai,,75,"This tender appears to be focused on basic electrical components – motor cables and low-power signal cables. The key point is the requirement for VAT inclusion, which needs careful attention regarding the correct VAT category selection.  The bidder must also provide a bank guarantee and bid bond, with a specific timeframe for compliance.","ai, software, data",HIGH
tender_229411,IPR# 125041930 / SOQ# 22503422 / Pharmaceutical item / AJCH / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24580] CRIZOTINIB 200 MG CAPSULES (SPR).- - 240 EA",2025-12-11,,Other,AED,Dubai,,75,"This tender requests a pharmaceutical item – CRIZOTINIB 200 MG CAPSULES (SPR) – with a unit price or item value, excluding VAT. The system requires clear specification of the VAT category for each item to ensure accurate processing. It’s important to note that VAT will be added at the PO stage.","ai, software, data",HIGH
tender_229722,5-years blanket contract for Surgical Item-22503477-MMR-IPR#125032339,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [510-12916] 3.0MM QUICKFIT PROBE WITH HANDLE/CODE#PG100032 - 1 EA
2: [510-08952] HUMAN AMNIOTIC MEMBRANE ALLOGRAFT 1.5 X2CM - 1 EA
3: [510-12583] MINI MONOKA MONO CANALICULUS INTUBATION SET DISPOSABLE - 1 EA
4: [510-12605] DIAMOND DUSTED SWEEPERS 25G - 1 EA
5: [510-12606] CHANDLIER TWIN 25G - 1 EA
6: [510-15530] SYMBLEPHARON RING 20MM SMALL (22X19X1.2MM) - 1 EA
7: [510-15531] SYMBLEPHARON RING 22MM MEDIUM (24X21X1.2MM) - 1 EA
8: [510-15532] SYMBLEPHARON RING 25MM LARGE (25X22X1.2MM) - 1 EA
9: [511-01433] Silcone ENUCLEATION / EVISCERATION IMPLANT - (18mm) - CAT# s6.1018 - 1 EA
10: [510-12568] SOLUPREP 4 SPONGE TINTED 97ML - 1 EA
11: [510-12636] FEMALE URETHRAL CATHETER 12FR, 20CM - 1 EA
12: [510-12654] CAPIO SUTURE FOR PELVIC FLOOR RECONSTRUCTION - 1 EA
13: [510-12655] HLS SET ADVANCED 7.0 / CODE NO. BE-HLS 7050 ECMO SET - 1 EA
14: [510-12766] Holmium laser probe (Auriga) 270 Single use - 1 EA
15: [510-15513] Arterial HLS Cannula, Different Length (15, 23 cm), Different Size (15, Fr.) +Percutaneous Insertion Kit for Arterial Cannuale PIK 100 - - 1 EA
16: [510-15514] Arterial HLS Cannula, Different Length (15, 23 cm), Different Size (17, Fr.) +Percutaneous Insertion Kit for Arterial Cannuale PIK 100 - - 1 EA
17: [510-15515] Arterial HLS Cannula, Different Length (15, 23 cm), Different Size (19, Fr.) +Percutaneous Insertion Kit for Arterial Cannuale PIK 100 - - 1 EA
18: [510-15516] Arterial HLS Cannula, Different Length (15, 23 cm), Different Size (21, Fr.) +Percutaneous Insertion Kit for Arterial Cannuale PIK 100 - - 1 EA
19: [510-15517] Arterial HLS Cannula, Different Length (15, 23 cm), Different Size (23, Fr.) +Percutaneous Insertion Kit for Arte...",2025-12-22,,Other,AED,Dubai,,85,"This tender requires a comprehensive selection of surgical items, including probes, catheters, and other devices. The key is to accurately record the VAT amount and ensure proper categorization for each item.  The listed items represent a diverse range of procedures and require careful consideration of specific requirements and potential variations in size and configuration.","ai, software, data",HIGH
